Test_nr,T_0,T_c,T_sh,V_exp,T_sup,T_suc,T_ret,T_dis,P_suc,P_dis,EvapFanSpeed,Cpr,CondFanSpeed,Faulty,HeatLoad,T_set,Cpr_Scale
1,-3.3957199,33.992564,4.2230414,21.294358,0.10546415,4.5531749,8.4097938,44.242777,2.5821143,8.6148099,82.799982,56.673664,77.69516,0,10000,0,1
1,-3.420286,33.952477,8.5963859,23.469431,0.17448936,4.5566563,8.4076896,44.573967,2.5649184,8.633178,82.122781,56.891203,77.249744,0,10000,0,1
1,-3.5993268,34.028705,6.3828672,22.160458,0.29421555,4.6490831,8.4015448,44.882215,2.5470251,8.6264138,81.641131,57.048847,78.096722,0,10000,0,1
1,-3.7866159,34.000648,9.5067743,23.895008,0.35057401,4.7696296,8.393684,45.235766,2.5219085,8.6306674,80.809626,57.324097,77.784974,0,10000,0,1
1,-4.0512337,34.018293,8.4691471,23.540063,0.35112537,4.9067284,8.3839935,45.500271,2.4974388,8.6213651,80.425401,57.460135,77.981035,0,10000,0,1
1,-4.3109993,33.979695,8.6284668,23.632834,0.26633031,5.0331736,8.3742637,45.762779,2.4746976,8.6175252,80.434655,57.470681,77.552168,0,10000,0,1
1,-4.5541854,33.963753,6.691547,22.476583,0.21132496,5.1624117,8.3677028,45.983864,2.4566083,8.6110269,81.042145,57.284245,77.375033,0,10000,0,1
1,-4.7488617,33.936762,9.4016593,23.608866,0.25126947,5.3047591,8.3673323,46.223976,2.4401461,8.6085824,81.438913,57.16323,77.075137,0,10000,0,1
1,-4.9269927,33.926605,12.775079,25.73634,0.34246025,5.4596886,8.3718473,46.397719,2.4262076,8.5965716,81.166859,57.259302,76.962278,0,10000,0,1
1,-5.0785425,33.876667,12.04455,26.129934,0.27726024,5.5912365,8.3752933,46.457783,2.4185077,8.5852941,80.532969,57.475764,76.40741,0,10000,0,1
1,-5.1625513,33.829729,10.238622,25.395191,0.077006228,5.6841571,8.3735849,46.426438,2.4185226,8.5785661,80.993767,57.332659,75.885883,0,10000,0,1
1,-5.1623891,33.801706,10.40166,25.291287,-0.065584838,5.7563367,8.3720842,46.348771,2.4253144,8.5756337,82.401083,56.874494,75.574506,0,10000,0,1
1,-5.088277,33.789486,12.092878,26.200182,-0.06765198,5.8285149,8.3787136,46.212289,2.4378573,8.5724259,83.402759,56.547712,75.438734,0,10000,0,1
1,-4.951832,33.776115,12.431542,26.781346,-0.022947215,5.8944762,8.3921242,45.996159,2.4543973,8.567797,83.413948,56.542246,75.290172,0,10000,0,1
1,-4.7727328,33.756814,12.487188,27.246637,-0.030364573,5.9325704,8.4035197,45.754773,2.4719981,8.5649963,83.091207,56.643759,75.075716,0,10000,0,1
1,-4.5831674,33.745133,9.8743569,25.837931,-0.092256847,5.9287347,8.4082086,45.492115,2.4899101,8.5641844,83.13156,56.626648,74.94592,0,10000,0,1
1,-4.3913182,33.741746,6.7523699,23.693532,-0.13014884,5.8913871,8.4090814,45.300614,2.5049925,8.5695473,83.555429,56.485534,74.908291,0,10000,0,1
1,-4.2306019,33.764114,12.721914,26.696151,-0.038632698,5.8679463,8.4110021,45.284188,2.5129947,8.581196,83.813193,56.398049,75.156819,0,10000,0,1
1,-4.1456343,33.812662,9.9021764,25.468051,0.065255305,5.8657953,8.4145181,45.140013,2.5222801,8.5721526,83.16529,56.604049,75.696242,0,10000,0,1
1,-4.0473036,33.774976,11.88325,26.750133,0.045490245,5.8278604,8.4142587,45.052517,2.5263003,8.5777496,82.430876,56.838488,75.277509,0,10000,0,1
1,-4.0048167,33.798304,12.241484,27.256016,-0.013809629,5.7668399,8.4083349,44.9431,2.531071,8.5782468,82.56423,56.794633,75.536706,0,10000,0,1
1,-3.9544666,33.800375,11.023769,26.666859,-0.11706375,5.6579202,8.4022954,44.756194,2.5402109,8.5798667,82.978836,56.661732,75.559725,0,10000,0,1
1,-3.8582074,33.807124,8.1925912,24.770688,-0.18353281,5.5061769,8.4005565,44.541209,2.5523131,8.5843921,83.702104,56.429495,75.634714,0,10000,0,1
1,-3.7311619,33.825973,7.894144,24.125503,-0.15321741,5.3552281,8.4042966,44.455381,2.5615524,8.5936268,84.164438,56.277804,75.844147,0,10000,0,1
1,-3.6344819,33.864415,10.294443,25.246176,-0.022537663,5.2625692,8.4113589,44.487146,2.5663471,8.5994589,83.944993,56.342867,76.271278,0,10000,0,1
1,-3.584417,33.888676,9.9827584,25.289197,0.0991408,5.21914,8.4162464,44.489183,2.567667,8.5979566,83.020644,56.634433,76.540846,0,10000,0,1
1,-3.5706473,33.882428,6.6915622,23.564321,0.11933995,5.1743531,8.4140067,44.509309,2.5635523,8.6010662,82.161369,56.906794,76.47142,0,10000,0,1
1,-3.613591,33.89536,6.459536,23.008866,0.10301197,5.1343699,8.4051282,44.680975,2.5524413,8.6102964,82.017988,56.953585,76.615113,0,10000,0,1
1,-3.7298183,33.933727,6.0519531,22.388648,0.1465071,5.1445475,8.3959951,44.947891,2.5387645,8.615371,82.136079,56.918806,77.041412,0,10000,0,1
1,-3.8734234,33.954807,3.8815237,20.948409,0.25342398,5.2113483,8.3909122,45.236856,2.5216814,8.6190093,81.837743,57.01793,77.275635,0,10000,0,1
1,-4.0536349,33.969915,7.8771913,22.488024,0.43163765,5.3303822,8.3878845,45.622207,2.4959361,8.6249238,81.094833,57.261207,77.443502,0,10000,0,1
1,-4.327016,33.994465,5.6770487,21.711899,0.5747081,5.4771943,8.3828027,45.969204,2.4641551,8.6175795,79.85349,57.671863,77.716275,0,10000,0,1
1,-4.6675093,33.963978,11.536264,24.463313,0.59200088,5.6172077,8.3724258,46.413812,2.4265066,8.6165865,78.862382,58.014852,77.377539,0,10000,0,1
1,-5.0752849,33.959855,9.8615724,24.308797,0.47555625,5.7427288,8.3582603,46.752655,2.3959652,8.5996978,78.757279,58.076916,77.331723,0,10000,0,1
1,-5.4096924,33.88967,10.691623,24.835742,0.24611164,5.8409433,8.3464141,46.988881,2.377671,8.5899367,79.592475,57.825862,76.551888,0,10000,0,1
1,-5.611582,33.849058,8.0557175,23.615947,0.097069976,5.9327138,8.3431191,47.064344,2.3730034,8.578984,81.216449,57.302547,76.100643,0,10000,0,1
1,-5.6632852,33.803447,13.755703,26.182487,0.10364806,6.0305867,8.3517107,47.070825,2.3756143,8.5736184,82.269956,56.960183,75.593853,0,10000,0,1
1,-5.6343553,33.781086,14.440842,27.57145,0.1427271,6.128476,8.3678034,46.908638,2.3867376,8.561687,82.223987,56.976592,75.345403,0,10000,0,1
1,-5.5113757,33.731326,14.51032,28.632674,0.013839925,6.1898485,8.3807465,46.611525,2.4057607,8.5534125,81.943247,57.068373,74.792512,0,10000,0,1
1,-5.3020805,33.696787,9.3692401,25.83392,-0.20017718,6.2006433,8.3860383,46.200088,2.4322063,8.5489249,82.836144,56.772881,74.40874,0,10000,0,1
1,-5.0132379,33.678044,9.7580942,25.490061,-0.29480917,6.1764874,8.3909967,45.877587,2.4583952,8.5567233,84.325508,56.280342,74.200488,0,10000,0,1
1,-4.7295815,33.71061,12.516876,26.900033,-0.1724802,6.1679489,8.4027551,45.633561,2.4834288,8.5591403,84.977032,56.057343,74.562331,0,10000,0,1
1,-4.4606143,33.720698,10.124719,25.850569,-0.038253475,6.1572941,8.4175344,45.333112,2.5065105,8.555408,84.104206,56.33492,74.674426,0,10000,0,1
1,-4.2144681,33.705119,11.95901,27.023714,0.0087262687,6.1140398,8.4240927,45.130431,2.520257,8.5615731,83.145142,56.642129,74.50132,0,10000,0,1
1,-4.0687044,33.730851,11.343424,26.901029,-0.011061536,6.0413586,8.4197104,44.947234,2.5302871,8.5638394,82.801261,56.749498,74.787231,0,10000,0,1
1,-3.9627355,33.740307,7.897556,24.813223,-0.093564364,5.9172585,8.4109454,44.760229,2.5398848,8.5690026,82.932859,56.704384,74.892297,0,10000,0,1
1,-3.8616375,33.761842,11.787675,26.640926,-0.12219584,5.7750802,8.4044345,44.695761,2.5458316,8.5817244,83.507922,56.51615,75.13158,0,10000,0,1
1,-3.7991447,33.814863,9.8355384,25.631375,-0.085863212,5.6540914,8.4035935,44.563977,2.5559879,8.5798114,83.705815,56.449583,75.720697,0,10000,0,1
1,-3.6926766,33.806894,7.8568101,24.394901,-0.061742964,5.5214069,8.406044,44.443922,2.5633773,8.5861815,83.446432,56.530641,75.632151,0,10000,0,1
1,-3.6154183,33.833424,10.552828,25.612743,-0.0097721427,5.4056007,8.4071483,44.46222,2.564656,8.594708,83.270299,56.584366,75.926939,0,10000,0,1
1,-3.602067,33.868913,6.9210433,23.71451,0.040813515,5.3224132,8.4059677,44.467406,2.5652932,8.5956,82.900004,56.701309,76.321259,0,10000,0,1
1,-3.5954147,33.872625,9.2210497,24.603258,0.068800483,5.2536421,8.4026582,44.583264,2.5589165,8.6052124,82.542048,56.815281,76.362497,0,10000,0,1
1,-3.6620369,33.912598,7.4674263,23.689873,0.10836784,5.2260052,8.3977012,44.70945,2.551704,8.6045183,82.344661,56.878791,76.80665,0,10000,0,1
1,-3.7375447,33.909713,10.61945,25.119407,0.12965381,5.2221266,8.3926305,44.886047,2.5409596,8.6092571,82.068667,56.968791,76.774589,0,10000,0,1
1,-3.8503344,33.929409,9.8515861,24.993678,0.12896672,5.2396562,8.3877915,44.996535,2.5322762,8.6067622,81.922051,57.018366,76.99343,0,10000,0,1
1,-3.9417591,33.91904,6.6761951,23.473754,0.070765514,5.2485144,8.3834821,45.067757,2.5251092,8.6067564,81.929993,57.018877,76.878224,0,10000,0,1
1,-4.017399,33.919016,6.8864411,23.117077,0.060110554,5.2693334,8.3805302,45.217178,2.5166345,8.6109267,82.340332,56.889955,76.877956,0,10000,0,1
1,-4.1070565,33.936346,10.890627,24.745188,0.15387714,5.3334938,8.380971,45.398577,2.5070497,8.6110601,82.416711,56.866975,77.070511,0,10000,0,1
1,-4.2087385,33.9369,14.96454,27.564616,0.22378873,5.4176556,8.3833083,45.493687,2.498319,8.6044851,81.760583,57.078076,77.076667,0,10000,0,1
1,-4.301622,33.909575,10.101939,25.873557,0.096080875,5.4636294,8.382045,45.426857,2.4963537,8.5960713,81.270932,57.238225,76.773056,0,10000,0,1
1,-4.3225643,33.874585,11.801102,26.666866,-0.10946626,5.4495447,8.3764475,45.352525,2.4982801,8.5971844,82.166305,56.955084,76.384282,0,10000,0,1
1,-4.3020359,33.879216,13.995014,28.12666,-0.20363557,5.4192048,8.3748946,45.216166,2.509264,8.5946759,83.607453,56.496002,76.435732,0,10000,0,1
1,-4.1852209,33.86878,8.7066592,25.380698,-0.24456036,5.3567082,8.383135,44.906723,2.5306852,8.5900993,84.26519,56.282522,76.319777,0,10000,0,1
